"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0031080",1.03649472206509,2.83715605180853,1.43947084224515,0.177185781343252,0.377294198734408,-4.89205998849433
"FBgn0053217",-0.0791390063627415,3.79755243722256,-0.148380927494585,0.88466153431553,0.938202710911943,-6.24820035706016
"FBgn0052350",-0.293622228424596,2.99746584542718,-0.524004691410514,0.610416821552667,0.766487040992635,-5.83472390412597
"FBgn0024733",-0.433389983768036,10.6531847694072,-3.08275870649985,0.0101386699463857,0.0850670493320168,-2.75926571686766
"FBgn0040372",0.323839133471575,5.48651371184958,1.75790985707814,0.105832824245521,0.278210891937507,-5.02750548012023
"FBgn0000316",0.0932439973416379,5.74817265905282,0.780459783488041,0.451187874484549,0.64971053925775,-6.16751532298681
"FBgn0024989",1.48647847230994,2.87610916164232,2.87758644492408,0.0146918407558602,0.101385369668095,-2.79391559422311
"FBgn0023536",-0.0972203166485612,4.06006442303637,-0.776363506762152,0.453506292968037,0.651636647465674,-6.07424713765881
"FBgn0023535",-1.10876479127079,3.75474891812917,-1.98392320113763,0.0721349394026325,0.224161955986339,-4.65876622072328
"FBgn0023537",-0.426720021294972,8.18248259918986,-3.2662547876522,0.00728304428378204,0.0728105165880699,-2.48567806423734
"FBgn0029525",-0.100994260609514,5.10106702549015,-0.966462169866247,0.354077482791276,0.560086200051655,-6.00546836745404
"FBgn0040373",-0.0820189784245846,2.9910301248456,-0.504289201496641,0.623763084139232,0.776172419357995,-6.13029029175384
"FBgn0000108",-0.717314991041808,0.622173031279125,-2.41111683302388,0.0340374170519749,0.149306989085134,-3.46271509958207
"FBgn0025640",-0.178538265941373,5.75961184018372,-0.891710516452777,0.391173012039807,0.59780267084628,-6.08215809151012
"FBgn0025635",0.0239213500980862,3.63551408358971,0.2715359898475,0.790884219625958,0.881333009610628,-6.30598276895336
"FBgn0001341",-0.018604447186048,5.4921767130641,-0.104034164490565,0.918968986841657,0.957761744985572,-6.47966141079584
"FBgn0003575",0.201627492353695,5.51785143192616,1.73411092321705,0.110108436534977,0.284356164584164,-5.06482765389073
"FBgn0025634",0.0539218242680946,4.12906758861905,0.497602643579049,0.628321943547695,0.779059511952249,-6.28300967550084
"FBgn0025638",-0.398983243696311,6.87972545737495,-2.02214660541359,0.0675296585807119,0.214941962067876,-4.62722505143169
"FBgn0040383",-0.674617225559365,4.95813173281381,-2.37772050384607,0.0361278054058678,0.154266459235516,-4.07048607959709
"FBgn0040382",0.11454788761182,4.32628106421238,0.796423012278813,0.442226000278175,0.641864470711599,-6.13129102805475
"FBgn0027343",0.318591968885036,1.68888518033875,1.07666078790546,0.304119977946135,0.514196100917493,-5.35370542042468
"FBgn0025621",0.0645595715911114,5.81030494984896,0.503619203774597,0.624219150994311,0.776211256672865,-6.35055152829516
"FBgn0015799",0.336826855883049,6.82519798687649,2.10225642181588,0.0587554913363503,0.197713486191326,-4.49912952424958
"FBgn0025620",-1.15339654609387,7.08329867336605,-1.37760154887763,0.195043942861658,0.396489884404171,-5.51848325896336
"FBgn0015288",-0.259778082713835,9.82441564188553,-1.62060980393549,0.132697483679949,0.318755197577538,-5.13473176103287
