"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0031080",3.13531536035255,2.83715605180853,4.66122547788912,0.000647605742618188,0.00238183329997671,-0.337768175130946
"FBgn0053217",1.29588803530855,3.79755243722256,2.50737603931342,0.0286482489342258,0.0530566151067719,-4.49393516215638
"FBgn0052350",1.82946563222191,2.99746584542718,3.58551335329864,0.0041144470078002,0.0108043042518878,-2.34874698720733
"FBgn0024733",-0.178998778786104,10.6531847694072,-1.27992751150452,0.226267562601187,0.296421448027744,-6.44617154583448
"FBgn0040372",0.024695398614905,5.48651371184958,0.135015010483703,0.894979172842426,0.918742871969546,-7.38176665176254
"FBgn0000316",0.390535133845648,5.74817265905282,3.28498223158129,0.00704185549679915,0.0167246928731258,-3.29749093595431
"FBgn0024989",3.87755633204777,2.87610916164232,7.80135351677135,7.11339495360148e-06,6.22571141567899e-05,4.21699948760502
"FBgn0023536",0.319903563034689,4.06006442303637,2.5269903109712,0.0276569727437094,0.0515736557313163,-4.5430737179503
"FBgn0023535",-2.73212855138391,3.75474891812917,-3.34477586512519,0.00632478356405239,0.0152950093600579,-2.79640796729686
"FBgn0023537",-1.33403869726742,8.18248259918986,-10.4953984070219,3.65937114642048e-07,6.58686806355686e-06,6.99681157515636
"FBgn0029525",-0.692552119847124,5.10106702549015,-6.52354231987567,3.80756261748343e-05,0.00024008341336125,2.13190246902364
"FBgn0040373",-0.79851705691011,2.9910301248456,-3.76741717529854,0.00298253900523219,0.00830338859056641,-1.97776335005996
"FBgn0000108",-2.37712105096065,0.622173031279125,-4.20702778936487,0.00139017035617658,0.00448141374633368,-0.78597477116352
"FBgn0025640",-0.124540656308782,5.75961184018372,-0.626043177034795,0.543746712436664,0.617513748949051,-7.19782785919673
"FBgn0025635",-0.227201505868278,3.63551408358971,-2.37708914606901,0.0361684968934106,0.0640463715282396,-4.69452740213469
"FBgn0001341",-0.833078468532261,5.4921767130641,-4.6620654904214,0.000646707833665324,0.00237972852388025,-0.845413788169576
"FBgn0003575",0.322222587672057,5.51785143192616,2.78511151941699,0.0173659026673321,0.035106505309229,-4.19486672169365
"FBgn0025634",-0.187247217988789,4.12906758861905,-1.64499020715781,0.127525768516667,0.182736924768588,-5.95857680315095
"FBgn0025638",-0.395303504461162,6.87972545737495,-2.03043957999398,0.0665674041584371,0.105962663818309,-5.49313440753977
"FBgn0040383",-2.225767990431,4.95813173281381,-7.06974197149112,1.81354173515035e-05,0.00013200560757449,2.96686615856932
"FBgn0040382",-1.3735145157186,4.32628106421238,-8.2409151144318,4.17529304601654e-06,4.00959810516279e-05,4.55415187006187
"FBgn0027343",-0.784239386014179,1.68888518033875,-1.65612436998321,0.125223724384221,0.180003435566601,-5.04548506812869
"FBgn0025621",0.675278615737724,5.81030494984896,5.27045630958404,0.000242922551213948,0.00108911540089529,0.176140241662168
