FBgn0031533	CG2772
FBgn0031534	Snx1
FBgn0031535	CG12795
FBgn0031536	Cog3
FBgn0266670	Sec5
FBgn0031538	CG3246
FBgn0263526	mir-4971
FBgn0005616	msl-2
FBgn0021967	ND-PDSW
FBgn0031540	Pif1
FBgn0051776	CG31776
FBgn0051956	Pgant4
FBgn0266912	lncRNA:CR45372
FBgn0264549	lncRNA:CR43928
FBgn0261560	Thor
FBgn0031542	CG15414
FBgn0286737	snoRNA:Or-CD16
FBgn0014396	tim
FBgn0266837	lncRNA:CR45299
FBgn0266838	asRNA:CR45300
FBgn0051954	CG31954
FBgn0284253	LeuRS
FBgn0031544	CG17593
FBgn0031545	CG3213
FBgn0031546	CG8851
FBgn0031547	Sr-CIV
FBgn0031548	CG8852
FBgn0031549	Spindly
FBgn0031550	IFT57
FBgn0265367	lncRNA:CR44308
FBgn0024244	drm
FBgn0265368	lncRNA:CR44309
FBgn0265960	lncRNA:CR44747
FBgn0264370	lncRNA:CR43822
FBgn0264363	CG43815
FBgn0004892	sob
FBgn0284410	lncRNA:TS2
FBgn0264371	lncRNA:CR43823
FBgn0002985	odd
FBgn0265369	lncRNA:CR44310
FBgn0015663	Ugt36A1
FBgn0031554	CG15418
FBgn0263523	mir-4972
FBgn0000721	for
FBgn0085369	Drgx
FBgn0259951	Sfp24Ba
FBgn0259953	Sfp24Bd
FBgn0259952	Sfp24Bb
FBgn0261054	Sfp24Bc
FBgn0031558	CG16704
FBgn0031559	CG3513
FBgn0051779	Acp24A4
FBgn0263096	CR43364
FBgn0262721	CG43165
FBgn0031560	CG16713
FBgn0031561	IM33
FBgn0031562	CG3604
FBgn0031563	CG10031
FBgn0259954	CG42464
FBgn0259955	CG42465
FBgn0259956	Sfp24C1
FBgn0259957	CG42467
FBgn0262621	CG43145
FBgn0265370	lncRNA:CR44311
FBgn0031564	CG2816
FBgn0051778	CG31778
FBgn0051777	CG31777
FBgn0015376	cutlet
FBgn0051955	CG31955
FBgn0031566	CG2818
FBgn0040104	lectin-24A
FBgn0003386	Shaw
FBgn0031568	CG10019
FBgn0263846	CG43707
FBgn0263842	CG43703
FBgn0262392	mir-1004
FBgn0263843	lncRNA:CR43704
FBgn0004893	bowl
FBgn0051960	CG31960
FBgn0051958	CR31958
FBgn0031571	bark
FBgn0021800	Reph
FBgn0031573	CG3407
FBgn0264885	lncRNA:CR44076
FBgn0264886	lncRNA:CR44077
FBgn0003430	slp1
FBgn0004567	slp2
FBgn0266318	lncRNA:CR44983
FBgn0267007	lncRNA:CR45451
FBgn0267005	lncRNA:CR45449
FBgn0267006	lncRNA:CR45450
FBgn0264887	lncRNA:CR44078
FBgn0031574	TTLL4B
FBgn0031575	Cep97
FBgn0051957	CG31957
FBgn0000256	capu
FBgn0051773	CG31773
FBgn0051774	fred
FBgn0264341	CG43797
FBgn0266883	lncRNA:CR45344
FBgn0085205	CG34176
FBgn0031579	CG15422
FBgn0031580	CG15423
FBgn0264295	CG43773
FBgn0264296	CG43774
FBgn0000547	ed
