Stock,Replica,Treatment,Larva_No,Resistance_Phenotype,Egg_Transfer_Date,Infection_Date,Dissection_Date,Researcher,Comment
DGRP437,1,G486,1,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,2,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,3,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,4,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,5,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,6,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,7,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,8,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,9,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,10,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,11,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,12,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,13,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,14,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,15,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,16,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,17,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,18,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,19,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,1,G486,20,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,1,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,2,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,3,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,4,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,5,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,6,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,7,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,8,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,9,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,10,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,11,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,12,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,13,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,14,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,15,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,16,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,17,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,18,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,19,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,2,G486,20,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,1,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,2,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,3,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,4,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,5,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,6,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,7,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,8,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,9,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,10,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,11,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,12,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,13,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,14,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,15,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,16,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,17,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,18,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,19,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,3,G486,20,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,1,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,2,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,3,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,4,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,5,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,6,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,7,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,8,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,9,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,10,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,11,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,12,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,13,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,14,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,15,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,16,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,17,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,18,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,19,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,4,G486,20,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,1,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,2,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,3,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,4,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,5,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,6,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,7,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,8,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,9,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,10,Susceptible,2018_08_16,2018_08_18,2018_08_20,Simone,
DGRP437,5,G486,11,Resistant,2018_08_16,2018_08_18,2018_08_20,Simone,
