Female,Male,Cross_Type,Sex,Replica,Larva_No,Phenotype,Resistance_Phenotype,Infection_Date,Dissection_Date,Researcher,Comment
437,437,ResistantXResistant,Male,1,1,3C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,2,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,4,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,5,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,6,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,7,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,8,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Male,1,10,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,1,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,2,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,3,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,4,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,5,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,6,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,7,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,8,2C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,9,C,Resistant,2018_04_16,2018_04_18,NA,
437,437,ResistantXResistant,Female,1,10,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,1,1,2C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,1,2,3C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,1,3,3C,Resistant,2018_04_16,2018_04_18,NA,
566,566,ResistantXResistant,Male,1,4,2C,Resistant,2018_04_16,2018_04_18,NA,
