Sample,Plate,Well,Row,Col,Egg lay date,Egg lay period,Egg transfer (ET),Infection start date,Infection end date,Infection period,Infection start date - Egg lay date,No. vials made on that date,Yeast usage,Cage,Total flies collected on that date,3 cM,27 cM,Genotype (3 and 27 cM),7 cM,10.3 cM,12 cM,17 cM,Wasp primer melting temperature ,Wasp DNA amplified,8 cM,11 cM,10.7 cM,11.3 cM,11.6 cM,8.5 cM,9 cM,10 cM
1,1,A1,A,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,B1,B,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,C1,C,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,D1,D,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,E1,E,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,F1,F,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,G1,G,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,H1,H,1,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,A2,A,2,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,B2,B,2,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,S,H,SH,S,S,S,H,83.94459534,N,NA,NA,NA,NA,NA,NA,NA,NA
11,1,C2,C,2,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,S,HS,H,H,H,H,78.44551086,Y,NA,NA,NA,NA,NA,NA,NA,NA
12,1,D2,D,2,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,S,HS,H,H,H,H,80.97823334,N,NA,NA,NA,NA,NA,NA,NA,NA
13,1,E2,E,2,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,S,H,SH,S,S,H,H,78.27960205,Y,NA,NA,NA,NA,NA,NA,NA,NA
14,1,F2,F,2,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,G2,G,2,25-Jan,Overnight,25-Jan,28-Jan,29-Jan,1 day,3,10,"Plastic, no yeast",2,15,H,S,HS,H,H,S,S,80.82924652,N,NA,H,NA,H,H,NA,NA,NA
16,1,H2,H,2,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,A3,A,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,B3,B,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,S,S,81.12721252,N,NA,H,NA,H,H,NA,NA,NA
19,1,C3,C,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,H,S,74.12498474,N,NA,NA,NA,NA,NA,NA,NA,NA
20,1,D3,D,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,E3,E,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,F3,F,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,G3,G,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,H3,H,3,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,A4,A,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,B4,B,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,C4,C,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,D4,D,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,E4,E,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,F4,F,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,G4,G,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,H4,H,4,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,A5,A,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,H,S,74.72091675,N,NA,NA,NA,NA,NA,NA,NA,NA
34,1,B5,B,5,27-Jan,Overnight,27-Jan,29-Jan,31-Jan,2 days,2,70,"Plastic, no yeast",2,89,H,S,HS,H,H,S,S,81.87213135,N,NA,S,NA,NA,NA,NA,NA,NA
