DGRP,Replica,Wasp_Strain,Flies,Capsules,Non_Capsules,Encapsulation_Ratio,Infection_Ratio,Obs,Set,Block,Infection,Assay,Researcher_ID
49,1,G486,1,3,36,0.076923077,0.975,,1,1,,,Sherifat
49,2,G486,0,2,38,0.05,1,,1,1,,,Rachael
228,1,G486,2,1,37,0.026315789,0.95,,1,1,,,Sherifat
228,2,G486,2,0,38,0,0.95,,1,1,,,Rachael
228,3,G486,0,1,39,0.025,1,,1,1,,,Sherifat
336,1,G486,2,13,25,0.342105263,0.95,,1,1,,,Sherifat
338,1,G486,0,7,33,0.175,1,,1,1,,,Sherifat
338,2,G486,0,13,27,0.325,1,,1,1,,,Rachael
338,3,G486,0,15,25,0.375,1,,1,1,,,Rachael
386,1,G486,0,0,40,0,1,,1,1,,,Rachael
386,2,G486,0,2,38,0.05,1,,1,1,,,Sherifat
386,3,G486,9,3,28,0.096774194,0.775,,1,1,,,Rachael
443,1,G486,0,0,40,0,1,,1,1,,,Rachael
443,2,G486,0,0,40,0,1,,1,1,,,Sherifat
443,3,G486,0,0,40,0,1,,1,1,,,Sherifat
563,1,G486,0,3,37,0.075,1,,1,1,,,Sherifat
563,2,G486,0,20,20,0.5,1,,1,1,,,Sherifat
563,3,G486,0,6,34,0.15,1,,1,1,,,Rachael
703,1,G486,0,1,39,0.025,1,,1,1,,,Rachael
703,2,G486,1,7,32,0.179487179,0.975,,1,1,,,Rachael
774,1,G486,0,2,38,0.05,1,,1,1,,,Rachael
774,2,G486,6,17,17,0.5,0.85,,1,1,,,Rachael
774,3,G486,0,1,39,0.025,1,,1,1,,,Rachael
796,1,G486,1,1,38,0.025641026,0.975,,1,1,,,Rachael
796,2,G486,0,3,37,0.075,1,,1,1,,,Sherifat
796,3,G486,1,4,35,0.102564103,0.975,,1,1,,,Sherifat
890,1,G486,0,2,38,0.05,1,,1,1,,,Sherifat
890,2,G486,1,5,34,0.128205128,0.975,,1,1,,,Rachael
890,3,G486,1,2,37,0.051282051,0.975,,1,1,,,Rachael
40,1,G486,0,25,15,0.625,1,,2,1,,,Alex
40,2,G486,0,19,21,0.475,1,,2,1,,,Alex
40,3,G486,1,21,18,0.538461538,0.975,,2,1,,,Alex
177,1,G486,1,0,39,0,0.975,,2,1,,,Alex
