DGRP_Line ,Duration,Time,Melanised,Non_Melanised,Total,Proportion_Melanised,Injection_Date,Injection_Time,Dissection_Date,Dissection_Time
437,10h,10,0,18,18,0,2019_05_15,08:00,2015_05_15,18:00
892,10h,10,0,20,20,0,2019_05_15,08:00,2015_05_16,18:00
437,18h,18,1,17,18,0.055555556,2019_05_15,16:00,2015_05_16,10:05
892,18h,18,0,13,13,0,2019_05_15,16:00,2015_05_16,10:05
437,20h,20,4,13,17,0.235294118,2019_05_15,13:15,2015_05_16,09:15
892,20h,20,1,15,16,0.0625,2019_05_15,15:15,2015_05_16,11:15
437,22h,22,9,12,21,0.428571429,2019_05_15,11:45,2015_05_16,09:45
892,22h,22,0,15,15,0,2019_05_15,11:45,2015_05_16,09:45
437,24h,24,12,6,18,0.666666667,2019_05_15,10:15,2015_05_16,10:16
892,24h,24,0,16,16,0,2019_05_15,10:15,2015_05_16,10:16
437,26h,26,12,4,16,0.75,2019_05_15,09:30,2015_05_16,11:30
892,26h,26,0,18,18,0,2019_05_15,09:30,2015_05_16,11:30
437,28h,28,17,2,19,0.894736842,2019_05_15,11:00,2015_05_16,15:00
892,28h,28,1,17,18,0.055555556,2019_05_15,11:00,2015_05_16,15:00
437,30h,30,9,6,15,0.6,2019_05_15,08:45,2015_05_16,14:45
892,30h,30,3,12,15,0.2,2019_05_15,08:45,2015_05_16,14:45
437,48h,48,8,1,9,0.888888889,2019_05_15,08:00,2015_05_17,08:00
892,48h,48,10,1,11,0.909090909,2019_05_15,08:00,2015_05_17,08:00
437,10h,10,0,34,34,0,2019_05_28,08:00,2019_05_28,18:00
892,10h,10,0,37,37,0,2019_05_28,08:00,2019_05_28,18:00
437,18h,18,4,34,38,0.105263158,2019_05_28,16:00,2019_05_29,10:00
892,18h,18,0,39,39,0,2019_05_28,16:00,2019_05_29,10:00
437,20h,20,6,30,36,0.166666667,2019_05_28,13:15,2019_05_29,09:18
892,20h,20,0,29,29,0,2019_05_28,13:15,2019_05_29,09:18
437,22h,22,13,27,40,0.325,2019_05_28,11:45,2019_05_29,09:46
892,22h,22,0,37,37,0,2019_05_28,11:45,2019_05_29,09:46
437,24h,24,12,22,34,0.352941176,2019_05_28,10:15,2019_05_29,10:20
892,24h,24,0,31,31,0,2019_05_28,10:15,2019_05_29,11:20
437,26h,26,12,16,28,0.428571429,2019_05_28,09:30,2019_05_29,11:30
892,26h,26,2,18,20,0.1,2019_05_28,09:30,2019_05_29,11:30
437,28h,28,27,3,30,0.9,2019_05_28,11:45,2019_05_29,15:45
892,28h,28,1,34,35,0.028571429,2019_05_28,11:45,2019_05_29,15:45
437,30h,30,36,2,38,0.947368421,2019_05_28,08:45,2019_05_29,14:47
892,30h,30,2,31,33,0.060606061,2019_05_28,08:45,2019_05_29,14:47
437,48h,48,35,0,35,1,2019_05_28,12:30,2019_05_30,12:30
892,48h,48,38,1,39,0.974358974,2019_05_28,12:30,2019_05_30,12:30
437,48h,48,38,0,38,1,2019_05_28,16:45,2019_05_30,16:45
892,48h,48,35,2,37,0.945945946,2019_05_28,16:45,2019_05_30,16:45
437,10h,10,0,34,34,0,2019_05_28,08:00,2019_05_28,18:00
892,10h,10,0,37,37,0,2019_05_28,08:00,2019_05_28,18:00
437,18h,18,4,34,38,0.105263158,2019_05_28,16:00,2019_05_29,10:00
892,18h,18,0,39,39,0,2019_05_28,16:00,2019_05_29,10:00
437,20h,20,6,30,36,0.166666667,2019_05_28,13:15,2019_05_29,09:18
892,20h,20,0,29,29,0,2019_05_28,13:15,2019_05_29,09:18
437,22h,22,13,27,40,0.325,2019_05_28,11:45,2019_05_29,09:46
892,22h,22,0,37,37,0,2019_05_28,11:45,2019_05_29,09:46
437,24h,24,12,22,34,0.352941176,2019_05_28,10:15,2019_05_29,10:20
892,24h,24,0,31,31,0,2019_05_28,10:15,2019_05_29,11:20
437,26h,26,12,16,28,0.428571429,2019_05_28,09:30,2019_05_29,11:30
892,26h,26,2,18,20,0.1,2019_05_28,09:30,2019_05_29,11:30
437,28h,28,27,3,30,0.9,2019_05_28,11:45,2019_05_29,15:45
892,28h,28,1,34,35,0.028571429,2019_05_28,11:45,2019_05_29,15:45
437,30h,30,36,2,38,0.947368421,2019_05_28,08:45,2019_05_29,14:47
892,30h,30,2,31,33,0.060606061,2019_05_28,08:45,2019_05_29,14:47
437,48h,48,35,0,35,1,2019_05_28,12:30,2019_05_30,12:30
892,48h,48,38,1,39,0.974358974,2019_05_28,12:30,2019_05_30,12:30
437,48h,48,38,0,38,1,2019_05_28,16:45,2019_05_30,16:45
892,48h,48,35,2,37,0.945945946,2019_05_28,16:45,2019_05_30,16:45
