Sample,Plate,Well,Row,Col,Egg lay (EL),Egg lay period,Egg transfer (ET),Infection (Inf),Infection end,Days of infection,Inf - Egg lay,No. vials,Yeast,Cage,Total collected,3 cM,27 cM,Genotype,Plate Label,7 cM,10 cM,12 cM,17 cM,Tm1,Wasp 1,8 cM,11 cM
10,1,B2,B,2,25-Jan,Overnight,25-Jan,28-Jan,29/01/2019,1,3,10,"Plastic, no yeast",1,15,S,H,SH,1_B2,S,S,S,H,83.94459534,N,NA,NA
11,1,C2,C,2,25-Jan,Overnight,25-Jan,28-Jan,29/01/2019,1,3,10,"Plastic, no yeast",1,15,H,S,HS,1_C2,H,H,H,H,78.44551086,Y,NA,NA
12,1,D2,D,2,25-Jan,Overnight,25-Jan,28-Jan,29/01/2019,1,3,10,"Plastic, no yeast",1,15,H,S,HS,1_D2,H,H,H,H,80.97823334,N,NA,NA
13,1,E2,E,2,25-Jan,Overnight,25-Jan,28-Jan,29/01/2019,1,3,10,"Plastic, no yeast",1,15,S,H,SH,1_E2,S,S,H,H,78.27960205,Y,NA,NA
15,1,G2,G,2,25-Jan,Overnight,25-Jan,28-Jan,29/01/2019,1,3,10,"Plastic, no yeast",1,15,H,S,HS,1_G2,H,H,S,S,80.82924652,N,NA,H
18,1,B3,B,3,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_B3,H,H,S,S,81.12721252,N,NA,H
19,1,C3,C,3,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_C3,H,H,H,S,74.12498474,N,NA,NA
33,1,A5,A,5,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_A5,H,H,H,S,74.72091675,N,NA,NA
34,1,B5,B,5,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_B5,H,H,S,S,81.87213135,N,NA,S
37,1,E5,E,5,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_E5,H,H,H,H,81.57416534,N,NA,NA
43,1,C6,C,6,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,S,H,SH,1_C6,H,H,NA,NA,83.6464386,N,NA,NA
47,1,G6,G,6,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_G6,H,H,H,H,81.42518616,N,NA,NA
50,1,B7,B,7,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_B7,H,H,S,S,78.44551086,Y,NA,H
53,1,E7,E,7,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_E7,H,S,S,S,75.16786957,N,S,NA
56,1,H7,H,7,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_H7,S,H,H,H,78.14754486,Y,NA,NA
58,1,B8,B,8,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,S,H,SH,1_B8,S,S,S,S,81.70841217,N,NA,NA
59,1,C8,C,8,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_C8,H,H,H,H,81.57416534,N,NA,NA
73,1,A10,A,10,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_A10,H,H,H,S,80.97823334,N,NA,NA
79,1,G10,G,10,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_G10,H,NA,NA,NA,81.42518616,N,NA,NA
80,1,H10,H,10,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,1_H10,NA,NA,NA,NA,81.72547913,N,NA,NA
87,1,G11,G,11,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,S,H,SH,1_G11,S,S,S,S,84.98814392,N,NA,NA
98,2,B1,B,1,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,2_B1,NA,NA,NA,NA,81.42750549,N,NA,NA
100,2,D1,D,1,27-Jan,Overnight,27-Jan,29-Jan,31/01/2019,2,2,70,"Plastic, no yeast",1,89,H,S,HS,2_D1,H,H,H,H,74.27614594,N,NA,NA
107,2,C2,C,2,27-Jan,Overnight,27-Jan,30-Jan,01/02/2019,2,3,10,"Plastic, no yeast",1,31,H,S,HS,2_C2,H,H,H,S,78.44777679,Y,NA,NA
109,2,E2,E,2,27-Jan,Overnight,27-Jan,30-Jan,01/02/2019,2,3,10,"Plastic, no yeast",1,31,H,S,HS,2_E2,H,H,H,S,83.36433411,N,NA,NA
117,2,E3,E,3,27-Jan,Overnight,27-Jan,30-Jan,01/02/2019,2,3,10,"Plastic, no yeast",1,31,H,S,HS,2_E3,NA,NA,NA,NA,74.27614594,N,NA,NA
127,2,G4,G,4,27-Jan,Overnight,27-Jan,30-Jan,01/02/2019,2,3,10,"Plastic, no yeast",1,31,H,S,HS,2_G4,S,S,S,S,81.72547913,N,NA,NA
131,2,C5,C,5,27-Jan,Overnight,27-Jan,30-Jan,01/02/2019,2,3,10,"Plastic, no yeast",1,31,H,S,HS,2_C5,NA,S,S,S,81.87446594,N,NA,NA
134,2,F5,F,5,27-Jan,Overnight,27-Jan,30-Jan,01/02/2019,2,3,10,"Plastic, no yeast",1,31,H,S,HS,2_F5,H,H,H,H,78.44777679,Y,NA,NA
141,2,E6,E,6,28-Jan,Day,29-Jan,01-Feb,01/02/2019,2,4,25,"Plastic, no yeast",1,11,H,S,HS,2_E6,H,NA,H,S,78.29878998,Y,NA,NA
143,2,G6,G,6,28-Jan,Day,29-Jan,01-Feb,01/02/2019,2,4,25,"Plastic, no yeast",1,11,H,S,HS,2_G6,H,H,H,H,78.00081635,Y,NA,NA
151,2,G7,G,7,29-Jan,Overnight,29-Jan,01-Feb,04/02/2019,3,3,25,"Plastic, no yeast",1,13,S,H,SH,2_G7,S,S,H,H,74.70172119,N,NA,H
152,2,H7,H,7,29-Jan,Overnight,29-Jan,01-Feb,04/02/2019,3,3,25,"Plastic, no yeast",1,13,S,H,SH,2_H7,S,H,H,H,78.27960205,Y,S,NA
154,2,B8,B,8,29-Jan,Overnight,29-Jan,01-Feb,04/02/2019,3,3,25,"Plastic, no yeast",1,13,H,S,HS,2_B8,H,H,H,NA,81.42750549,N,NA,NA
156,2,D8,D,8,29-Jan,Overnight,29-Jan,01-Feb,04/02/2019,3,3,25,"Plastic, no yeast",1,13,H,S,HS,2_D8,H,S,S,S,82.17243958,N,S,NA
157,2,E8,E,8,29-Jan,Overnight,29-Jan,01-Feb,04/02/2019,3,3,25,"Plastic, no yeast",1,13,H,S,HS,2_E8,NA,H,NA,NA,74.57411957,N,NA,NA
161,2,A9,A,9,30-Jan,Overnight,30-Jan,01-Feb,04/02/2019,3,2,30,"Plastic, no yeast",1,25,H,S,HS,2_A9,H,H,H,S,78.29878998,Y,NA,NA
163,2,C9,C,9,30-Jan,Overnight,30-Jan,01-Feb,04/02/2019,3,2,30,"Plastic, no yeast",1,25,H,S,HS,2_C9,H,H,NA,H,78.44777679,Y,NA,NA
165,2,E9,E,9,30-Jan,Overnight,30-Jan,01-Feb,04/02/2019,3,2,30,"Plastic, no yeast",1,25,S,H,SH,2_E9,S,S,H,H,74.40374756,N,NA,H
180,2,D11,D,11,30-Jan,Overnight,30-Jan,01-Feb,04/02/2019,3,2,30,"Plastic, no yeast",1,25,H,S,HS,2_D11,NA,NA,NA,NA,81.43118286,N,NA,NA
191,2,G12,G,12,29-Jan,Day,30-Jan,01-Feb,04/02/2019,3,3,10,"Plastic, no yeast",1,17,H,S,HS,2_G12,H,H,H,H,75.02404022,N,NA,NA
193,3,A1,A,1,29-Jan,Day,30-Jan,01-Feb,04/02/2019,3,3,10,"Plastic, no yeast",1,17,S,H,SH,3_A1,S,H,H,H,74.55285645,N,H,NA
199,3,G1,G,1,29-Jan,Day,30-Jan,01-Feb,04/02/2019,3,3,10,"Plastic, no yeast",1,17,S,H,SH,3_G1,NA,H,NA,H,74.7019577,N,NA,NA
203,3,C2,C,2,30-Jan,Day,31-Jan,03-Feb,04/02/2019,1,4,15,"Plastic, no yeast",1,35,H,S,HS,3_C2,H,H,H,H,74.42802429,N,NA,NA
209,3,A3,A,3,30-Jan,Day,31-Jan,03-Feb,04/02/2019,1,4,15,"Plastic, no yeast",1,35,H,S,HS,3_A3,H,H,H,H,73.68300629,N,NA,NA
219,3,C4,C,4,30-Jan,Day,31-Jan,03-Feb,04/02/2019,1,4,15,"Plastic, no yeast",1,35,S,H,SH,3_C4,S,S,H,H,74.2546463,N,NA,H
240,3,H6,H,6,31-Jan,Overnight,31-Jan,03-Feb,04/02/2019,1,3,55,"Plastic, no yeast",1,60,H,S,HS,3_H6,H,H,H,H,78.30211639,Y,NA,NA
248,3,H7,H,7,31-Jan,Overnight,31-Jan,03-Feb,04/02/2019,1,3,55,"Plastic, no yeast",1,60,H,S,HS,3_H7,H,H,H,H,78.15311432,Y,NA,NA
278,3,F11,F,11,31-Jan,Overnight,31-Jan,03-Feb,04/02/2019,1,3,55,"Plastic, no yeast",1,60,S,H,SH,3_F11,S,S,S,S,74.55285645,N,NA,NA
283,3,C12,C,12,31-Jan,Overnight,31-Jan,03-Feb,04/02/2019,1,3,55,"Plastic, no yeast",1,60,H,S,HS,3_C12,H,H,H,H,78.30211639,Y,NA,NA
299,4,C2,C,2,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_C2,H,H,H,H,78.45111847,Y,NA,NA
304,4,H2,H,2,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,S,H,SH,4_H2,S,S,S,H,78.2804718,Y,NA,NA
312,4,H3,H,3,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_H3,H,H,H,H,78.45111847,Y,NA,NA
327,4,G5,G,5,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,S,H,SH,4_G5,S,S,H,H,78.42958069,Y,NA,S
330,4,B6,B,6,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_B6,H,H,H,H,78.45111847,Y,NA,NA
331,4,C6,C,6,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,S,H,SH,4_C6,H,H,H,H,81.70988464,N,NA,NA
332,4,D6,D,6,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_D6,H,H,H,H,78.74912262,Y,NA,NA
336,4,H6,H,6,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,S,H,SH,4_H6,S,S,S,S,78.2804718,Y,NA,NA
342,4,F7,F,7,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_F7,H,H,H,H,78.30211639,Y,NA,NA
351,4,G8,G,8,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_G8,S,S,S,S,80.98417664,N,NA,NA
353,4,A9,A,9,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,S,H,SH,4_A9,H,H,H,H,78.13137054,Y,NA,NA
355,4,C9,C,9,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_C9,H,H,H,S,81.43118286,N,NA,NA
362,4,B10,B,10,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,S,H,SH,4_B10,S,S,S,S,78.2804718,Y,NA,NA
377,4,A12,A,12,01-Feb,Overnight,01-Feb,04-Feb,05/02/2019,1,3,53,"Plastic, no yeast",1,116,H,S,HS,4_A12,H,H,H,H,78.45111847,Y,NA,NA
