line,resistance,7bp_ins_1,8bp_ins_2,21bp_ins_3,comment,8bp_dgrp2_call,snp_in_21bp_indel
21,0.08,A,D,NA,NA,D,NA
26,0.02,D,A,NA,NA,NA,NA
31,0.14,A,D,NA,NA,D,NA
32,0.03,A,A,NA,NA,A,NA
38,0.01,A,D,A,NA,D,G
40,0.55,A,D,A,NA,D,A
41,NA,A,D,NA,NA,D,NA
42,0.03,A,D,A,NA,D,G
45,0.03,A,D,A,NA,D,A
48,0.03,A,A,A,NA,A,G
57,0.02,A,D,A,NA,D,G
59,0.06,A,D,A,NA,D,G
69,0.02,D,A,D,NA,A,NA
73,0.14,D,A,D,NA,A,NA
75,0.04,A,D,A,NA,D,G
85,0.06,A,NA,NA,het 8bp,NA,NA
88,0.14,NA,NA,NA,het 7bp,NA,NA
91,0.08,A,D,A,NA,D,G
93,0,A,A,A,NA,A,G
100,0.05,NA,NA,NA,het 7bp,NA,NA
101,0.04,A,NA,NA,het 8bp,NA,NA
105,0.12,D,A,D,NA,A,NA
109,0,A,D,A,NA,D,G
129,0.04,A,D,A,NA,D,A
136,0.01,A,D,A,NA,D,G
138,0.03,D,A,D,NA,A,NA
142,0.04,A,D,A,NA,D,G
153,0.01,A,D,A,NA,D,G
161,0.05,A,A,A,NA,A,G
176,0.1,A,D,A,NA,D,A
177,0.01,A,D,A,NA,D,G
181,0.03,D,A,D,NA,A,NA
189,0.01,A,D,A,NA,NA,A
195,0.03,A,D,A,NA,D,A
208,0.05,D,A,D,NA,A,NA
217,0.02,A,D,A,NA,D,A
228,0.02,D,A,D,NA,A,NA
229,0.05,A,D,A,NA,D,A
235,0.15,A,D,A,NA,D,A
237,0.01,A,NA,NA,het 8bp,NA,NA
256,0.09,A,D,A,NA,D,G
280,0.21,A,D,A,NA,D,G
287,0.54,A,D,A,NA,D,G
301,0.12,NA,NA,NA,het 7bp,NA,NA
303,0.08,A,D,A,NA,D,G
304,0,A,D,A,NA,D,G
306,0.11,A,D,A,NA,D,A
309,0.01,A,D,A,NA,D,G
313,0.03,A,D,A,NA,D,A
317,0.23,A,D,A,NA,D,G
318,0.07,A,D,A,NA,D,G
319,0.03,A,D,A,NA,D,A
320,0.08,A,D,A,NA,D,A
321,0.06,A,D,A,NA,D,A
324,0.19,A,D,A,NA,D,G
