Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,strain,tissue
SRR1686964,adult,WGS,202,2609987258,PRJNA268677,SAMN03223208,Model organism or animal,1773156949,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX791849,Illumina HiSeq 2000,EA71_HE-1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EA71,not applicable,SRP050307,EA71,whole organism
SRR1686966,adult,WGS,202,5578774794,PRJNA268677,SAMN03223209,Model organism or animal,3846010383,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX791850,Illumina HiSeq 2000,EA87_HE-1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EA87,not applicable,SRP050307,EA87,whole organism
SRR1686969,adult,WGS,202,2362444540,PRJNA268677,SAMN03223210,Model organism or animal,1562366833,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX791857,Illumina HiSeq 2000,EB132_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EB132,not applicable,SRP050307,EB132,whole organism
SRR1686971,adult,WGS,202,3849981832,PRJNA268677,SAMN03223211,Model organism or animal,2473531802,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX791858,Illumina HiSeq 2000,EB148_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EB148,not applicable,SRP050307,EB148,whole organism
SRR1703033,adult,WGS,202,2235845484,PRJNA268677,SAMN03223244,Model organism or animal,1560218434,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX799626,Illumina HiSeq 2000,SD98_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,SD98,not applicable,SRP050307,SD98,whole organism
SRR1686794,adult,WGS,202,3343700344,PRJNA268677,SAMN03223205,Model organism or animal,2312089219,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX791698,Illumina HiSeq 2000,EA119_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EA119,not applicable,SRP050307,EA119,whole organism
SRR1686796,adult,WGS,202,2126106964,PRJNA268677,SAMN03223206,Model organism or animal,1480833111,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX791706,Illumina HiSeq 2000,EA3_HE-1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EA3,not applicable,SRP050307,EA3,whole organism
SRR1686797,adult,WGS,202,2618742342,PRJNA268677,SAMN03223207,Model organism or animal,1789955093,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX791713,Illumina HiSeq 2000,EA49_HE-1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EA49,not applicable,SRP050307,EA49,whole organism
SRR1687447,adult,WGS,202,3336409356,PRJNA268677,SAMN03223212,Model organism or animal,2194653465,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792309,Illumina HiSeq 2000,EB18_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EB18,not applicable,SRP050307,EB18,whole organism
SRR1687453,adult,WGS,202,2590162776,PRJNA268677,SAMN03223213,Model organism or animal,1738064715,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792316,Illumina HiSeq 2000,EB237_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EB237,not applicable,SRP050307,EB237,whole organism
SRR1687462,adult,WGS,202,3143461582,PRJNA268677,SAMN03223214,Model organism or animal,2074169867,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792329,Illumina HiSeq 2000,EB25_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EB25,not applicable,SRP050307,EB25,whole organism
SRR1687511,adult,WGS,202,2140601878,PRJNA268677,SAMN03223215,Model organism or animal,1482227387,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792353,Illumina HiSeq 2000,EF120_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EF120,not applicable,SRP050307,EF120,whole organism
SRR1687668,adult,WGS,202,3565374740,PRJNA268677,SAMN03223217,Model organism or animal,2334349669,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792510,Illumina HiSeq 2000,EF39_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EF39,not applicable,SRP050307,EF39,whole organism
SRR1687770,adult,WGS,202,2467284358,PRJNA268677,SAMN03223218,Model organism or animal,1642496194,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792606,Illumina HiSeq 2000,EF65_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EF65,not applicable,SRP050307,EF65,whole organism
SRR1687793,adult,WGS,202,3398639900,PRJNA268677,SAMN03223219,Model organism or animal,2335563099,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792639,Illumina HiSeq 2000,EF78_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EF78,not applicable,SRP050307,EF78,whole organism
SRR1687832,adult,WGS,202,2181209130,PRJNA268677,SAMN03223220,Model organism or animal,1574754342,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX792675,Illumina HiSeq 2000,EG40N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EG40N,not applicable,SRP050307,EG40N,whole organism
SRR1688188,adult,WGS,202,2052762784,PRJNA268677,SAMN03223221,Model organism or animal,1479738698,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX793022,Illumina HiSeq 2000,EG69N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EG69N,not applicable,SRP050307,EG69N,whole organism
SRR1688222,adult,WGS,202,2076693724,PRJNA268677,SAMN03223222,Model organism or animal,1497279371,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX793046,Illumina HiSeq 2000,EG73N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-02-03T00:00:00Z,EG73N,not applicable,SRP050307,EG73N,whole organism
