Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,stock,strain,tissue
SRR1769729,WGS,GCA_000001215.1,179,15677845617,PRJNA268111,SAMN03203151,Model organism or animal,6587646234,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX850540,Illumina HiSeq 2000,ZW155_100x,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW155,genomic DNA,female,SRP050151,ZW155,ZW155,adult
SRR1663528,WGS,GCA_000001215.1,199,2217058173,PRJNA268111,SAMN03203071,Model organism or animal,997303324,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX765991,Illumina HiSeq 2000,B05,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B05,genomic DNA,female,SRP050151,B05,B05,adult
SRR1663529,WGS,GCA_000001215.1,199,2272567553,PRJNA268111,SAMN03203072,Model organism or animal,1015548915,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX765992,Illumina HiSeq 2000,B10,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B10,genomic DNA,female,SRP050151,B10,B10,adult
SRR1663530,WGS,GCA_000001215.1,199,2047866867,PRJNA268111,SAMN03203073,Model organism or animal,913722427,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX765993,Illumina HiSeq 2000,B11,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B11,genomic DNA,female,SRP050151,B11,B11,adult
SRR1663531,WGS,GCA_000001215.1,199,2252989108,PRJNA268111,SAMN03203074,Model organism or animal,990451990,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766069,Illumina HiSeq 2000,B12,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B12,genomic DNA,female,SRP050151,B12,B12,adult
SRR1663532,WGS,GCA_000001215.1,199,2088922262,PRJNA268111,SAMN03203075,Model organism or animal,930009217,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766070,Illumina HiSeq 2000,B14,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B14,genomic DNA,female,SRP050151,B14,B14,adult
SRR1663533,WGS,GCA_000001215.1,199,1943921945,PRJNA268111,SAMN03203076,Model organism or animal,853686575,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766071,Illumina HiSeq 2000,B23,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B23,genomic DNA,female,SRP050151,B23,B23,adult
SRR1663537,WGS,GCA_000001215.1,199,2061773988,PRJNA268111,SAMN03203080,Model organism or animal,895161164,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766075,Illumina HiSeq 2000,B43,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B43,genomic DNA,female,SRP050151,B43,B43,adult
SRR1663538,WGS,GCA_000001215.1,199,2003235694,PRJNA268111,SAMN03203081,Model organism or animal,865673484,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766076,Illumina HiSeq 2000,B51,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B51,genomic DNA,female,SRP050151,B51,B51,adult
SRR1663539,WGS,GCA_000001215.1,199,2101998774,PRJNA268111,SAMN03203082,Model organism or animal,918546505,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766077,Illumina HiSeq 2000,B52,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B52,genomic DNA,female,SRP050151,B52,B52,adult
SRR1663540,WGS,GCA_000001215.1,199,2232257409,PRJNA268111,SAMN03203083,Model organism or animal,951986173,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766078,Illumina HiSeq 2000,B54,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B54,genomic DNA,female,SRP050151,B54,B54,adult
SRR1663541,WGS,GCA_000001215.1,199,1748207767,PRJNA268111,SAMN03203084,Model organism or animal,724991431,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766079,Illumina HiSeq 2000,B59,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B59,genomic DNA,female,SRP050151,B59,B59,adult
SRR1663542,WGS,GCA_000001215.1,199,2459556857,PRJNA268111,SAMN03203085,Model organism or animal,1143356875,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766092,Illumina HiSeq 2000,I01,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I01,genomic DNA,female,SRP050151,I01,I01,adult
SRR1663543,WGS,GCA_000001215.1,199,2455812515,PRJNA268111,SAMN03203086,Model organism or animal,1113896289,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766094,Illumina HiSeq 2000,I02,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I02,genomic DNA,female,SRP050151,I02,I02,adult
SRR1663544,WGS,GCA_000001215.1,199,2445646902,PRJNA268111,SAMN03203087,Model organism or animal,1119502477,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766096,Illumina HiSeq 2000,I03,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I03,genomic DNA,female,SRP050151,I03,I03,adult
SRR1663545,WGS,GCA_000001215.1,199,1811502980,PRJNA268111,SAMN03203088,Model organism or animal,866599895,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766098,Illumina HiSeq 2000,I04,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I04,genomic DNA,female,SRP050151,I04,I04,adult
SRR1663546,WGS,GCA_000001215.1,199,1806063560,PRJNA268111,SAMN03203089,Model organism or animal,771918459,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766099,Illumina HiSeq 2000,I06,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I06,genomic DNA,female,SRP050151,I06,I06,adult
SRR1663547,WGS,GCA_000001215.1,199,2184588901,PRJNA268111,SAMN03203090,Model organism or animal,1011080096,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766101,Illumina HiSeq 2000,I07,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I07,genomic DNA,female,SRP050151,I07,I07,adult
SRR1663548,WGS,GCA_000001215.1,199,2597575369,PRJNA268111,SAMN03203091,Model organism or animal,1200123182,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766102,Illumina HiSeq 2000,I13,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I13,genomic DNA,female,SRP050151,I13,I13,adult
SRR1663549,WGS,GCA_000001215.1,199,1697320313,PRJNA268111,SAMN03203092,Model organism or animal,688749407,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766103,Illumina HiSeq 2000,I16,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I16,genomic DNA,female,SRP050151,I16,I16,adult
SRR1663550,WGS,GCA_000001215.1,199,2583384319,PRJNA268111,SAMN03203093,Model organism or animal,1158306839,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766104,Illumina HiSeq 2000,I17,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I17,genomic DNA,female,SRP050151,I17,I17,adult
SRR1663551,WGS,GCA_000001215.1,199,2280056395,PRJNA268111,SAMN03203094,Model organism or animal,1032956547,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766105,Illumina HiSeq 2000,I22,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I22,genomic DNA,female,SRP050151,I22,I22,adult
SRR1663552,WGS,GCA_000001215.1,199,2474223455,PRJNA268111,SAMN03203095,Model organism or animal,1125264392,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766106,Illumina HiSeq 2000,I23,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I23,genomic DNA,female,SRP050151,I23,I23,adult
SRR1663553,WGS,GCA_000001215.1,199,2226055591,PRJNA268111,SAMN03203096,Model organism or animal,1006410477,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766107,Illumina HiSeq 2000,I24,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I24,genomic DNA,female,SRP050151,I24,I24,adult
SRR1663554,WGS,GCA_000001215.1,199,1719907850,PRJNA268111,SAMN03203097,Model organism or animal,714650263,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766108,Illumina HiSeq 2000,I26,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I26,genomic DNA,female,SRP050151,I26,I26,adult
SRR1663555,WGS,GCA_000001215.1,199,2427160378,PRJNA268111,SAMN03203098,Model organism or animal,1085751658,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766109,Illumina HiSeq 2000,I29,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I29,genomic DNA,female,SRP050151,I29,I29,adult
SRR1663556,WGS,GCA_000001215.1,199,1940162725,PRJNA268111,SAMN03203099,Model organism or animal,903746969,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766110,Illumina HiSeq 2000,I31,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,I31,genomic DNA,female,SRP050151,I31,I31,adult
