Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,strain,run_center (run),run_machine_id (run),AssemblyName,source_of_DNA,read_mask (run)
SRR932121,WGS,200,6168982000,PRJNA36679,SAMN00013481,3416367807,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021008,Illumina Genome Analyzer II,IWG_DGRP.138_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP138,SRP000694,DGRP-138,,,GCA_000001215.1,,
SRR933563,WGS,150,4807039650,PRJNA36679,SAMN00013680,2679362427,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX020912,Illumina Genome Analyzer II,IWG_DGRP.181_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP181,SRP000694,DGRP-181,,,GCA_000001215.1,,
SRR933564,WGS,138,5021999438,PRJNA36679,SAMN00014226,2395193065,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX005977,Illumina Genome Analyzer,IWG_DGRP.DMEL.AA_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP208,SRP000694,DGRP-208,,,GCA_000001215.1,,
SRR933566,WGS,142,2628368309,PRJNA36679,SAMN00013949,1367516439,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021056,Illumina Genome Analyzer II,IWG_DGRP.26_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP26,SRP000694,DGRP-26,,,GCA_000001215.1,,
SRR933569,WGS,150,4918731150,PRJNA36679,SAMN00013970,2713358963,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021095,Illumina Genome Analyzer II,IWG_DGRP.332_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP332,SRP000694,DGRP-332,,,GCA_000001215.1,,
SRR933570,WGS,150,2441985000,PRJNA36679,SAMN00013971,1407860747,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021096,Illumina Genome Analyzer II,IWG_DGRP.336_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP336,SRP000694,DGRP-336,,,GCA_000001215.1,,
SRR933571,WGS,90,5197036410,PRJNA36679,SAMN00014233,3311403943,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006146,Illumina Genome Analyzer,IWG_DGRP.357_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP357,SRP000694,DGRP-357,,,GCA_000001215.1,,
SRR933572,WGS,119,6200816040,PRJNA36679,SAMN00014234,3529209845,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006148,Illumina Genome Analyzer,IWG_DGRP.DMEL.AP_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP375,SRP000694,DGRP-375,,,GCA_000001215.1,,
SRR933573,WGS,150,4075188900,PRJNA36679,SAMN00013988,2325889378,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021112,Illumina Genome Analyzer II,IWG_DGRP.381_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP381,SRP000694,DGRP-381,,,GCA_000001215.1,,
SRR933575,WGS,105,2945422290,PRJNA36679,SAMN00014236,1589156022,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006153,Illumina Genome Analyzer,IWG_DGRP.DMEL.3A_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP399,SRP000694,DGRP-399,,,GCA_000001215.1,,
SRR933577,WGS,90,2884812120,PRJNA36679,SAMN00014237,1534381198,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006155,Illumina Genome Analyzer,IWG_DGRP.427_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP427,SRP000694,DGRP-427,,,GCA_000001215.1,,
SRR933578,WGS,90,1682595900,PRJNA36679,SAMN00014239,910242620,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006157,Illumina Genome Analyzer,IWG_DGRP.DMEL.48_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP486,SRP000694,DGRP-486,,,GCA_000001215.1,,
SRR933579,WGS,112,6715093440,PRJNA36679,SAMN02708871,3238292037,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX024363,Illumina Genome Analyzer II,IWG_DGRP.517_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP517,SRP000694,DGRP-517,,,GCA_000001215.1,,
SRR933580,WGS,150,3757785750,PRJNA36679,SAMN00014241,1793518736,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006159,Illumina Genome Analyzer,IWG_DGRP.DMEL.AZ_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP555,SRP000694,DGRP-555,,,GCA_000001215.1,,
SRR933581,WGS,200,6496699000,PRJNA36679,SAMN00014039,3487680981,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021296,Illumina Genome Analyzer II,IWG_DGRP.57_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP57,SRP000694,DGRP-57,,,GCA_000001215.1,,
SRR933582,WGS,150,3159030000,PRJNA36679,SAMN00014242,1702185499,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006161,Illumina Genome Analyzer,IWG_DGRP.DMEL.BA_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP639,SRP000694,DGRP-639,,,GCA_000001215.1,,
SRR933583,WGS,150,2538761550,PRJNA36679,SAMN00017019,1323651231,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX023449,Illumina Genome Analyzer II,IWG_DGRP.69_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP69,SRP000694,DGRP-69,,,GCA_000001215.1,,
SRR933585,WGS,150,3525495600,PRJNA36679,SAMN00014243,1747686594,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006162,Illumina Genome Analyzer,IWG_DGRP.DMEL.BB_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP705,SRP000694,DGRP-705,,,GCA_000001215.1,,
SRR933586,WGS,150,3499305300,PRJNA36679,SAMN00014244,1679335240,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006163,Illumina Genome Analyzer II,IWG_DGRP.DMEL.BC_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP707,SRP000694,DGRP-707,,,GCA_000001215.1,,
SRR933587,WGS,150,3351590100,PRJNA36679,SAMN00014245,1629748084,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006164,Illumina Genome Analyzer,IWG_DGRP.DMEL.BD_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP712,SRP000694,DGRP-712,,,GCA_000001215.1,,
SRR933588,WGS,150,3156819150,PRJNA36679,SAMN00014246,1666935358,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006166,Illumina Genome Analyzer,IWG_DGRP.DMEL.B1_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP714,SRP000694,DGRP-714,,,GCA_000001215.1,,
SRR933589,WGS,150,5533610700,PRJNA36679,SAMN00014108,3297337720,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX021382,Illumina Genome Analyzer II,IWG_DGRP.727_001pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP727,SRP000694,DGRP-727,,,GCA_000001215.1,,
SRR933591,WGS,150,3162775800,PRJNA36679,SAMN00014247,1511680811,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX006167,Illumina Genome Analyzer,IWG_DGRP.DMEL.BG_000pA,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-07-11T00:00:00Z,BCM-DGRP732,SRP000694,DGRP-732,,,GCA_000001215.1,,
