Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,quality_book_char (run)
SRR112417,WGS,152,1299236872,PRJNA30085,SAMN00215900,747356817,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX042685,Illumina Genome Analyzer II,E01_2,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-14T00:00:00Z,E01,SRP005599,
SRR112538,WGS,152,945665568,PRJNA30085,SAMN00215901,529776176,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX042686,Illumina Genome Analyzer II,E15_2,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-14T00:00:00Z,E15,SRP005599,
SRR112593,WGS,152,1148629648,PRJNA30085,SAMN00215902,648609579,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX042687,Illumina Genome Analyzer II,E16_2,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-14T00:00:00Z,E16,SRP005599,
SRR112594,WGS,152,795426336,PRJNA30085,SAMN00215903,440187359,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX042688,Illumina Genome Analyzer II,E17_2,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-14T00:00:00Z,E17,SRP005599,
SRR112595,WGS,113,155168210,PRJNA30085,SAMN00216779,110039616,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX045502,Illumina Genome Analyzer II,E11-2K_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-25T00:00:00Z,E11,SRP005599,
SRR105047,WGS,152,841072544,PRJNA30085,SAMN00216034,467630167,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX043636,Illumina Genome Analyzer II,E18_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-14T00:00:00Z,E18,SRP005599,
SRR105048,WGS,152,888309280,PRJNA30085,SAMN00216035,493406062,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX043637,Illumina Genome Analyzer II,CO16-3_2,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,CO16-3,SRP005599,
SRR106851,WGS,152,1489025592,PRJNA30085,SAMN00210500,843591191,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX041214,Illumina Genome Analyzer II,E02_1,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2012-02-07T00:00:00Z,E02,SRP005599,
SRR218317,WGS,152,6467161784,PRJNA30085,SAMN00260127,4141158923,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX058199,Illumina Genome Analyzer IIx,GA185_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-27T00:00:00Z,GA185-HE,SRP005599,
SRR306607,WGS,176,3473532128,PRJNA30085,SAMN00205355,2149986870,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX040486,Illumina Genome Analyzer II,ycnbwsp_7-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2011-07-11T00:00:00Z,ycnbwsp-HE,SRP005599,
