Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR309280,WGS,316,6008420208,SAMN00668434,3911850802,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX083300,Illumina Genome Analyzer IIx,ZI388_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-20T00:00:00Z,ZI388-HE,SRP006733
SRR202128,WGS,292,6828813032,SAMN00264941,4557779456,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX062100,Illumina Genome Analyzer IIx,ZI191_2-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-21T00:00:00Z,ZI191-HE,SRP006733
SRR342392,WGS,316,5880306540,SAMN00716447,3994326064,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX096453,Illumina Genome Analyzer IIx,ZI332_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI332-HE,SRP006733
SRR342393,WGS,316,6134831268,SAMN00716448,4170088250,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX096454,Illumina Genome Analyzer IIx,ZI281_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI281-HE,SRP006733
SRR342394,WGS,316,7060908136,SAMN00716449,4670340476,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX096455,Illumina Genome Analyzer IIx,ZI353_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI353-HE,SRP006733
SRR342395,WGS,316,5386417184,SAMN00716446,3568407611,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX096456,Illumina Genome Analyzer IIx,ZI197N_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI197N-HE,SRP006733
SRR342396,WGS,316,5695460760,SAMN00716450,3755543000,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX096457,Illumina Genome Analyzer IIx,ZI523_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI523-HE,SRP006733
SRR342397,WGS,316,5881335120,SAMN00716451,3883506058,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX096458,Illumina Genome Analyzer IIx,ZI446_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI446-HE,SRP006733
SRR346919,WGS,316,5756709776,SAMN00727208,3988894867,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098361,Illumina Genome Analyzer IIx,ZI429_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI429-HE,SRP006733
SRR346921,WGS,316,5912265832,SAMN00727210,3992953297,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098363,Illumina Genome Analyzer IIx,ZI164_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI164-HE,SRP006733
SRR346922,WGS,316,5132316528,SAMN00727211,3461188030,UC-DPGP,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX098364,Illumina Genome Analyzer IIx,ZI382_1-HE,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2013-09-23T00:00:00Z,ZI382-HE,SRP006733
