Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,strain,tissue
SRR3734062,WGS,190,1864933980,PRJNA327349,SAMN05330350,Model organism or animal,1152832767,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889829,Illumina HiSeq 2000,EA103N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA103N,female,SRP077652,EA103N,Whole organism
SRR3734063,WGS,190,1711308150,PRJNA327349,SAMN05330351,Model organism or animal,1128955853,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889830,Illumina HiSeq 2000,EA117N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA117N,female,SRP077652,EA117N,Whole organism
SRR3734064,WGS,190,3924796370,PRJNA327349,SAMN05330360,Model organism or animal,2691957827,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889831,Illumina HiSeq 2000,EA50N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EA50N,female,SRP077652,EA50N,Whole organism
SRR3734065,WGS,190,2043119210,PRJNA327349,SAMN05330450,Model organism or animal,1412341055,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889832,Illumina HiSeq 2000,EG46N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG46N,female,SRP077652,EG46N,Whole organism
SRR3734066,WGS,190,1668225650,PRJNA327349,SAMN05330451,Model organism or animal,1044697712,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889833,Illumina HiSeq 2000,EG48N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG48N,female,SRP077652,EG48N,Whole organism
SRR3734067,WGS,190,6220348440,PRJNA327349,SAMN05330452,Model organism or animal,4320680067,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889834,Illumina HiSeq 2000,EG49N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG49N,female,SRP077652,EG49N,Whole organism
SRR3734068,WGS,190,2206877930,PRJNA327349,SAMN05330453,Model organism or animal,1590068212,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889835,Illumina HiSeq 2000,EG50N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG50N,female,SRP077652,EG50N,Whole organism
SRR3734069,WGS,190,1920936290,PRJNA327349,SAMN05330454,Model organism or animal,1383718235,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889836,Illumina HiSeq 2000,EG53N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG53N,female,SRP077652,EG53N,Whole organism
SRR3734070,WGS,190,3276120410,PRJNA327349,SAMN05330455,Model organism or animal,2369566778,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889837,Illumina HiSeq 2000,EG54N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG54N,female,SRP077652,EG54N,Whole organism
SRR3734071,WGS,190,4098854420,PRJNA327349,SAMN05330456,Model organism or animal,2822578704,UNIVERSITY OF WISCONSIN-MADISON,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1889838,Illumina HiSeq 2000,EG55N,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-07-05T00:00:00Z,EG55N,female,SRP077652,EG55N,Whole organism
