"Stock.ID" "region" "SRA.Accession" "Data.Group" "Population" "Country" "Locality" "Date.of.Collection" "Collector.s." "Latitude..negative.south." "Longitude..negative.west." "Elevation..m." "Haploid.Embryo.Genomes" "Inbred.or.Isofemale.Genomes" "Chromosome.Extraction.Genomes" "Data.Reference"
"GA01" "america" "ERX650225" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA02" "america" "ERX650226" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA03" "america" "ERX650227" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA04" "america" "ERX650228" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA05" "america" "ERX650229" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA06" "america" "ERX650230" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA07" "america" "ERX650231" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA08" "america" "ERX650232" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA09" "america" "ERX650234" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA10" "america" "ERX650235" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA11" "america" "ERX650236" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA12" "america" "ERX650237" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA13" "america" "ERX650238" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA15" "america" "ERX650239" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"GA17" "america" "ERX650240" "BERGMAN" "GA_" "United States" "Athens GA" "Aug-09" "P. Haddrill" 33.96 -83.37 212 0 15 0 "Bergman and Haddrill 2015"
"RAL-391" "america" "SRX023452, SRX006152,SRX006151" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-379" "america" "SRX006293,SRX006292" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-380" "america" "SRX006303, SRX006302, SRX006301,SRX006300" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-852" "america" "SRX006304,SRX006305" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-176" "america" "SRX020763,SRX020762" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-589" "america" "SRX023837" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-301" "america" "SRX155995,SRX005978" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-357" "america" "SRX006146,SRX006147" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-304" "america" "SRX156009,SRX156008,SRX005988,SRX005987" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"RAL-639" "america" "SRX006161,SRX006160" "DGRP" "RAL" "United States" "Raleigh NC" "2003" "T. Mackay" 35.76 -78.66 91 0 205 0 "Mackay et al. 2012; Huang et al. 2014"
"I01" "america" "SRX766092" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I02" "america" "SRX766094" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I03" "america" "SRX766096" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I04" "america" "SRX766098" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I06" "america" "SRX766099" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I07" "america" "SRX766101" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I13" "america" "SRX766102" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I16" "america" "SRX766103" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I17" "america" "SRX766104" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I22" "america" "SRX766105" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I23" "america" "SRX766106" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I26" "america" "SRX766108" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I29" "america" "SRX766109" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I31" "america" "SRX766110" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I33" "america" "SRX766111" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
"I34" "america" "SRX766112" "CLARK" "I" "United States" "Ithaca NY" "2004" "E. Hill-Burns & B. Lazzaro" 42.35 -76.57 344 0 19 0 "Grenier et al. 2015"
