step	global-lle	local-lle	lle-ratio
0	+1.9562119858299900e+00	+1.9562119858299900e+00	+0.0000000000000000e+00
0	-1.9057616793718579e+00	-1.9057616793718579e+00	+0.0000000000000000e+00
0	+9.1449998567847857e-02	+9.1449998567847857e-02	+0.0000000000000000e+00
5	-1.1306865206963761e+00	-8.6366095015926625e-01	+5.3405114107421969e-01
0	+8.3882134529195818e-01	+8.3882134529195818e-01	+0.0000000000000000e+00
0	+1.8249853382396026e+00	+1.8249853382396026e+00	+0.0000000000000000e+00
0	+1.7953567155131820e+00	+1.7953567155131820e+00	+0.0000000000000000e+00
0	-5.8826301504195460e+00	-5.8826301504195460e+00	+0.0000000000000000e+00
0	+4.0413074689121187e-01	+4.0413074689121187e-01	+0.0000000000000000e+00
0	+1.9657484897784432e+00	+1.9657484897784432e+00	+0.0000000000000000e+00
0	+6.2224629180935098e-01	+6.2224629180935098e-01	+0.0000000000000000e+00
2	-1.3920504055948713e+00	+1.7541084055175604e-01	+3.1349224922932546e+00
1	+8.8333638670003944e-01	+1.0163227336156968e+00	+2.6597269383131472e-01
0	+1.9942254764070748e+00	+1.9942254764070748e+00	+0.0000000000000000e+00
0	+1.4145715749028365e+00	+1.4145715749028365e+00	+0.0000000000000000e+00
2	-1.1318683512809788e+00	+2.6305587464768676e-01	+2.7898484518573312e+00
0	-1.2212760801444502e+00	-1.2212760801444502e+00	+0.0000000000000000e+00
0	-6.0322012599989483e-01	-6.0322012599989483e-01	+0.0000000000000000e+00
0	+1.8656663471526926e+00	+1.8656663471526926e+00	+0.0000000000000000e+00
1	-1.2768030737290563e+00	-5.9266751261598483e-01	+1.3682711222261430e+00
0	+1.5284095193454539e+00	+1.5284095193454539e+00	+0.0000000000000000e+00
1	-8.6378977549366187e-02	+3.6227499285630427e-01	+8.9730794081134091e-01
0	+5.8708369205019562e-01	+5.8708369205019562e-01	+0.0000000000000000e+00
0	+9.8435152700119266e-01	+9.8435152700119266e-01	+0.0000000000000000e+00
2	-1.3653129366180008e+00	-5.6866221179280840e-01	+1.5933014496503848e+00
0	-2.1002833255200062e+00	-2.1002833255200062e+00	+0.0000000000000000e+00
3	-1.3082804570695408e+00	+1.3007891998042220e-01	+2.8767187540999259e+00
3	-2.8019426624547754e+00	-7.0778301387613185e-01	+4.1883192971572871e+00
0	+1.9449310866299365e+00	+1.9449310866299365e+00	+0.0000000000000000e+00
0	+1.0252033711312249e+00	+1.0252033711312249e+00	+0.0000000000000000e+00
0	+7.1855463218770099e-01	+7.1855463218770099e-01	+0.0000000000000000e+00
0	+2.1308600974539607e+00	+2.1308600974539607e+00	+0.0000000000000000e+00
0	+1.1279043259030539e+00	+1.1279043259030539e+00	+0.0000000000000000e+00
4	-2.1065445452004217e+00	+1.5236440876616353e-02	+4.2435619721540760e+00
0	+2.1814588350310933e+00	+2.1814588350310933e+00	+0.0000000000000000e+00
0	+6.4029414498031656e-01	+6.4029414498031656e-01	+0.0000000000000000e+00
0	+1.8726837244438439e+00	+1.8726837244438439e+00	+0.0000000000000000e+00
0	+1.5262786610376149e+00	+1.5262786610376149e+00	+0.0000000000000000e+00
0	+4.7100019144369831e-01	+4.7100019144369831e-01	+0.0000000000000000e+00
0	+2.1735418644369937e+00	+2.1735418644369937e+00	+0.0000000000000000e+00
0	+1.7717017493322751e+00	+1.7717017493322751e+00	+0.0000000000000000e+00
1	-5.0868915204381215e-01	-2.9241075106229664e-01	+4.3255680196303103e-01
0	-3.3476328033874125e-02	-3.3476328033874125e-02	+0.0000000000000000e+00
2	-5.6864086077237230e-01	+5.0144985964598221e-01	+2.1401814408367090e+00
2	-5.9516524006673732e-01	+4.9996487491281938e-01	+2.1902602299591134e+00
0	+1.8943161604405012e+00	+1.8943161604405012e+00	+0.0000000000000000e+00
0	+1.5451792454999596e+00	+1.5451792454999596e+00	+0.0000000000000000e+00
0	+9.1724541819585292e-01	+9.1724541819585292e-01	+0.0000000000000000e+00
1	+1.1277258488636865e+00	+1.1805477115529701e+00	+1.0564372537856714e-01
0	+1.5209567629067480e+00	+1.5209567629067480e+00	+0.0000000000000000e+00
1	+1.1738159831823662e+00	+1.1955374423907466e+00	+4.3442918416760623e-02
1	+1.1844099061381412e+00	+1.2059074790057274e+00	+4.2995145735172269e-02
0	+1.5270398925008837e+00	+1.5270398925008837e+00	+0.0000000000000000e+00
5	-2.8228213346592113e+00	-1.7626230792084945e+00	+2.1203965109014336e+00
0	+1.7492161835488693e+00	+1.7492161835488693e+00	+0.0000000000000000e+00
1	-4.2582813094969607e-01	-4.0895828555619795e-01	+3.3739690786996235e-02
2	-5.6739654162468911e-01	-4.8189744515939470e-01	+1.7099819293058882e-01
0	-3.3272130466085073e+00	-3.3272130466085073e+00	+0.0000000000000000e+00
0	-3.3367805630521699e+00	-3.3367805630521699e+00	+0.0000000000000000e+00
0	-1.6487362480552794e+00	-1.6487362480552794e+00	+0.0000000000000000e+00
3	-2.3271705826105165e+00	-9.7443621465343577e-01	+2.7054687359141614e+00
4	-3.5427936945066203e+00	-8.4056403809688307e-01	+5.4044593128194744e+00
1	-2.1191571608091997e+00	-2.0851956905709748e+00	+6.7922940476449867e-02
1	+1.5125588686499070e-01	+5.3110898870025536e-01	+7.5970620367052932e-01
0	+1.7924526543146446e+00	+1.7924526543146446e+00	+0.0000000000000000e+00
0	+1.7811760344803895e+00	+1.7811760344803895e+00	+0.0000000000000000e+00
2	-1.7754591548974106e+00	-5.8221168494649733e-01	+2.3864949399018265e+00
11	-8.2651400935178572e+00	-1.0994476910751088e+00	+1.4331384804885497e+01
10	-5.6149974333613706e+00	-1.4410530161503026e+00	+8.3478888344221360e+00
1	+1.1810702168677401e+00	+1.2107704488660391e+00	+5.9400463996598152e-02
0	+2.1858048265950760e+00	+2.1858048265950760e+00	+0.0000000000000000e+00
0	+1.7799241478537047e+00	+1.7799241478537047e+00	+0.0000000000000000e+00
2	-6.5889857913111660e-01	+1.2093459855805566e-01	+1.5596663553783445e+00
0	-6.3515373158242170e+00	-6.3515373158242170e+00	+0.0000000000000000e+00
0	+2.1096176069353532e+00	+2.1096176069353532e+00	+0.0000000000000000e+00
0	+6.0707924135628621e-01	+6.0707924135628621e-01	+0.0000000000000000e+00
0	+1.4801772425747342e+00	+1.4801772425747342e+00	+0.0000000000000000e+00
0	+1.6749734320322065e+00	+1.6749734320322065e+00	+0.0000000000000000e+00
1	+8.9496054450711604e-01	+1.0753701038485652e+00	+3.6081911868289840e-01
0	+1.5174961643962288e+00	+1.5174961643962288e+00	+0.0000000000000000e+00
0	+8.6665841433545587e-01	+8.6665841433545587e-01	+0.0000000000000000e+00
1	-1.4270515073592938e-01	+4.5802719208590892e-01	+1.2014646856436766e+00
0	+1.4143608210812060e+00	+1.4143608210812060e+00	+0.0000000000000000e+00
0	+1.4240604332845181e+00	+1.4240604332845181e+00	+0.0000000000000000e+00
0	+1.4065630189394993e+00	+1.4065630189394993e+00	+0.0000000000000000e+00
0	+1.5641763017217503e+00	+1.5641763017217503e+00	+0.0000000000000000e+00
0	+1.5669046843389487e+00	+1.5669046843389487e+00	+0.0000000000000000e+00
0	+1.4470778039769088e+00	+1.4470778039769088e+00	+0.0000000000000000e+00
1	-3.4962910624060162e+00	-3.1412039429152334e+00	+7.1017423898156551e-01
0	+1.8190692393627235e+00	+1.8190692393627235e+00	+0.0000000000000000e+00
3	-1.4763155090301079e+00	+2.2052694654642924e-01	+3.3936849111530742e+00
0	+1.5819219353504792e+00	+1.5819219353504792e+00	+0.0000000000000000e+00
2	-1.6007249245329791e+00	-5.9608335978249372e-01	+2.0092831295009708e+00
2	-1.1566730409790842e+00	-6.5533334913979724e-02	+2.1822794121302089e+00
0	+1.3813774829509833e+00	+1.3813774829509833e+00	+0.0000000000000000e+00
0	+2.0505682269403716e+00	+2.0505682269403716e+00	+0.0000000000000000e+00
0	+2.0326786515407012e+00	+2.0326786515407012e+00	+0.0000000000000000e+00
0	+9.4456743079150707e-01	+9.4456743079150707e-01	+0.0000000000000000e+00
1	-1.0432933155986563e+00	-8.6140682837642091e-01	+3.6377297444447088e-01
0	+1.1598495789354599e+00	+1.1598495789354599e+00	+0.0000000000000000e+00
0	-2.9570630520431949e+00	-2.9570630520431949e+00	+0.0000000000000000e+00
0	-1.2084990378472860e-01	-1.2084990378472860e-01	+0.0000000000000000e+00
0	+2.1538165336166708e+00	+2.1538165336166708e+00	+0.0000000000000000e+00
