step	global-lle	local-lle	lle-ratio
0	+1.9562119858299900e+00	+1.9562119858299900e+00	+0.0000000000000000e+00
19	-1.9057616793718579e+00	-8.0877623937493515e-01	+2.1939708799938455e+00
4	+9.1449998567847857e-02	+1.5735003800868341e-01	+1.3180007888167111e-01
13	-1.1306865206963761e+00	-5.4001602569228613e-01	+1.1813409900081799e+00
0	+8.3882134529195818e-01	+8.3882134529195818e-01	+0.0000000000000000e+00
0	+1.8249853382396026e+00	+1.8249853382396026e+00	+0.0000000000000000e+00
0	+1.7953567155131820e+00	+1.7953567155131820e+00	+0.0000000000000000e+00
47	-5.8826301504195460e+00	-1.9410366181778926e+00	+7.8831870644833071e+00
2	+4.0413074689121187e-01	+4.2673092936890589e-01	+4.5200364955388039e-02
0	+1.9657484897784432e+00	+1.9657484897784432e+00	+0.0000000000000000e+00
0	+6.2224629180935098e-01	+6.2224629180935098e-01	+0.0000000000000000e+00
15	-1.3920504055948713e+00	-6.0680696213045016e-01	+1.5704868869288422e+00
0	+8.8333638670003944e-01	+8.8333638670003944e-01	+0.0000000000000000e+00
0	+1.9942254764070748e+00	+1.9942254764070748e+00	+0.0000000000000000e+00
0	+1.4145715749028365e+00	+1.4145715749028365e+00	+0.0000000000000000e+00
13	-1.1318683512809788e+00	-5.3299000198391910e-01	+1.1977566985941195e+00
14	-1.2212760801444502e+00	-5.3371785254711490e-01	+1.3751164551946706e+00
9	-6.0322012599989483e-01	-2.6524010483026017e-01	+6.7596004233926932e-01
0	+1.8656663471526926e+00	+1.8656663471526926e+00	+0.0000000000000000e+00
13	-1.2768030737290563e+00	-6.3997021227704076e-01	+1.2736657229040311e+00
0	+1.5284095193454539e+00	+1.5284095193454539e+00	+0.0000000000000000e+00
6	-8.6378977549366187e-02	+5.4949196205988926e-02	+2.8265634751071023e-01
0	+5.8708369205019562e-01	+5.8708369205019562e-01	+0.0000000000000000e+00
0	+9.8435152700119266e-01	+9.8435152700119266e-01	+0.0000000000000000e+00
14	-1.3653129366180008e+00	-6.7769490166167889e-01	+1.3752360699126438e+00
20	-2.1002833255200062e+00	-9.6964637521150499e-01	+2.2612739006170024e+00
15	-1.3082804570695408e+00	-5.9082464974099747e-01	+1.4349116146570866e+00
25	-2.8019426624547754e+00	-1.1581764420446166e+00	+3.2875324408203177e+00
0	+1.9449310866299365e+00	+1.9449310866299365e+00	+0.0000000000000000e+00
0	+1.0252033711312249e+00	+1.0252033711312249e+00	+0.0000000000000000e+00
0	+7.1855463218770099e-01	+7.1855463218770099e-01	+0.0000000000000000e+00
0	+2.1308600974539607e+00	+2.1308600974539607e+00	+0.0000000000000000e+00
0	+1.1279043259030539e+00	+1.1279043259030539e+00	+0.0000000000000000e+00
21	-2.1065445452004217e+00	-8.6829721107956503e-01	+2.4764946682417133e+00
0	+2.1814588350310933e+00	+2.1814588350310933e+00	+0.0000000000000000e+00
0	+6.4029414498031656e-01	+6.4029414498031656e-01	+0.0000000000000000e+00
0	+1.8726837244438439e+00	+1.8726837244438439e+00	+0.0000000000000000e+00
0	+1.5262786610376149e+00	+1.5262786610376149e+00	+0.0000000000000000e+00
1	+4.7100019144369831e-01	+4.7287772062722677e-01	+3.7550583670569182e-03
0	+2.1735418644369937e+00	+2.1735418644369937e+00	+0.0000000000000000e+00
0	+1.7717017493322751e+00	+1.7717017493322751e+00	+0.0000000000000000e+00
8	-5.0868915204381215e-01	-2.4381314103087015e-01	+5.2975202202588401e-01
4	-3.3476328033874125e-02	+5.8615234136405459e-02	+1.8418312434055917e-01
9	-5.6864086077237230e-01	-2.5949599922352973e-01	+6.1828972309768515e-01
9	-5.9516524006673732e-01	-2.6999685761063730e-01	+6.5033676491220005e-01
0	+1.8943161604405012e+00	+1.8943161604405012e+00	+0.0000000000000000e+00
0	+1.5451792454999596e+00	+1.5451792454999596e+00	+0.0000000000000000e+00
0	+9.1724541819585292e-01	+9.1724541819585292e-01	+0.0000000000000000e+00
0	+1.1277258488636865e+00	+1.1277258488636865e+00	+0.0000000000000000e+00
0	+1.5209567629067480e+00	+1.5209567629067480e+00	+0.0000000000000000e+00
0	+1.1738159831823662e+00	+1.1738159831823662e+00	+0.0000000000000000e+00
0	+1.1844099061381412e+00	+1.1844099061381412e+00	+0.0000000000000000e+00
0	+1.5270398925008837e+00	+1.5270398925008837e+00	+0.0000000000000000e+00
25	-2.8228213346592113e+00	-1.1784367182013367e+00	+3.2887692329157492e+00
0	+1.7492161835488693e+00	+1.7492161835488693e+00	+0.0000000000000000e+00
